officename,pincode,Deliverystatus,Taluk,Districtname,statename
Amwar S.O,231212,Delivery,Mirzapur Sadar,Sonbhadra,UTTAR PRADESH
Beena Project S.O,231220,Delivery,Sonbhadra,Sonbhadra,UTTAR PRADESH
Chunar S.O,231304,Delivery,Chunar,Mirzapur,UTTAR PRADESH
Dudhi S.O,231208,Delivery,Sonbhadra,Sonbhadra,UTTAR PRADESH
Jamua S.O (Mirzapur),231314,Delivery,Mirzapur Sadar,Mirzapur,UTTAR PRADESH
Sikhar S.O,231306,Delivery,Mirzapur Sadar,Mirzapur,UTTAR PRADESH
Atheha S.O,230125,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Bhadri S.O,230201,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Kalakankar S.O,229408,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Madhoganj S.O (Pratapgarh),230403,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Mandhata S.O,230402,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Ajgara S.O,230144,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Katra Medniganj S.O,230131,Delivery,Pratapgarh,Pratapgarh,UTTAR PRADESH
Kishunganj S.O,230503,Delivery,Pratapgarh,Pratapgarh,UTTAR PRADESH
Kohdaur S.O,230401,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Babaganj S.O,230143,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Garhi Manikpur S.O,230202,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Gaura R S S.O,230301,Delivery,Raniganj,Pratapgarh,UTTAR PRADESH
Kunda S.O (Pratapgarh),230204,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Oraiyadeeh S.O,230134,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Pratapgarh City S.O,230002,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Sagra S.O (Pratapgarh),230136,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Vishwanathganj S.O,230404,Delivery,Pratapgarh,Pratapgarh,UTTAR PRADESH
Darchhut S.O,230405,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Lalganj (Pratapgarh) S.O,230132,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Pratapgarh H.O,230001,Delivery,Pratapgarh,Pratapgarh,UTTAR PRADESH
Sahabganj S.O (Pratapgarh),230137,Delivery,Lalganj ,Pratapgarh,UTTAR PRADESH
Shitlaganj S.O,230142,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Antu S.O,230501,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Babuganj S.O,230126,Delivery,Lalganj ,Pratapgarh,UTTAR PRADESH
Kaithola S.O,229410,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Laxmanpur S.O (Pratapgarh),230130,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Raniganj S.O (Pratapgarh),230304,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Saifabad S.O,230138,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Sangramgarh S.O,230141,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Suwansa S.O,230306,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Amargarh S.O (Pratapgarh),230124,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Derwa S.O,230128,Delivery,Kunda,Pratapgarh,UTTAR PRADESH
Garwara S.O,230502,Delivery,Sadar,Pratapgarh,UTTAR PRADESH
Jethwara S.O,230129,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Patti S.O (Pratapgarh),230135,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Pura Dhakwa Chauraha S.O,230121,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Dalippur S.O (Pratapgarh),230127,Delivery,Patti,Pratapgarh,UTTAR PRADESH
Jamtali S.O,230302,Delivery,Raniganj,Pratapgarh,UTTAR PRADESH
Sangipur S.O,230139,Delivery,Lalganj,Pratapgarh,UTTAR PRADESH
Chakia S.O,232103,Delivery,Chakia,Chandauli,UTTAR PRADESH
Dafi S.O,221011,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Kamalpur S.O (Chandauli),232106,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Mugalsarai S.O,232101,Delivery,Chandauli,Chandauli,UTTAR PRADESH
Sadalpura S.O,232120,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Sahupuri S.O,221009,Delivery,Chandauli,Chandauli,UTTAR PRADESH
Saiyadraja S.O,232110,Delivery,Chandauli,Chandauli,UTTAR PRADESH
Varanasi H.O,221001,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Hindu Vishwa Vidhyalaya S.O,221005,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Ramgarh S.O (Chandauli),232107,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Kaithi S.O,221116,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Sarnath S.O,221007,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Baburi S.O,232102,Delivery,Chandauli,Chandauli,UTTAR PRADESH
Cholapur S.O,221101,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Chiraigaon S.O,221112,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Naugarh S.O (Chandauli),232111,Delivery,Chakia,Chandauli,UTTAR PRADESH
Ramnagar S.O (Varanasi),221008,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Sakaldiha Bazar S.O,232109,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Sakaldiha S.O,232108,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Basant Nagar S.O,221110,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Chandauli S.O,232104,Delivery,Chandauli,Chandauli,UTTAR PRADESH
Chaubeypur S.O,221104,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Dhanapur S.O,232105,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Sahabganj S.O (Chandauli),232118,Delivery,Chakia,Chandauli,UTTAR PRADESH
Tanda Kalan S.O,221115,Delivery,Sakaldiha,Chandauli,UTTAR PRADESH
Sewapuri S.O,221403,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Sindhora S.O,221208,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Vsi Shivpur S.O,221003,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Babatpur Ad S.O,221006,Delivery,Varanasi,Varanasi,UTTAR PRADESH
D.L.W. S.O,221004,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Kathiraon S.O,221207,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Mahmoorganj S.O,221010,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Pindra S.O,221206,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Gyanpur S.O,221304,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Hathi Bazar S.O,221405,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Jangiganj S.O,221310,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Mirzamurad S.O,221307,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Nai Bazar S.O (Sant Ravidas Nagar),221409,Delivery,Bhadohi,Sant Ravidas Nagar,UTTAR PRADESH
Ozh S.O,221308,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Baragaon S.O (Varanasi),221204,Delivery,Pindra ,Varanasi,UTTAR PRADESH
Jakhini S.O,221305,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Industrial Estate (Varanasi) S.O,221106,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Kachhwa Road S.O,221313,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Lohta S.O,221107,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Manduadih S.O,221103,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Anai S.O,221201,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Bhadohi S.O,221401,Delivery,Bhadohi,Sant Ravidas Nagar,UTTAR PRADESH
Bhulanpur Pac S.O,221108,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Gangapur (Varanasi) S.O,221302,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Gopiganj S.O,221303,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Khamaria S.O (Varanasi),221306,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Aurai S.O (Sant Ravidas Nagar),221301,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Mangari S.O,221202,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Mondh S.O,221406,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Varanasi Cantt H.O,221002,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Harhua S.O,221105,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Koirauna S.O,221309,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Mahrajganj S.O (Sant Ravidas Nagar),221314,Delivery,Gyanpur,Sant Ravidas Nagar,UTTAR PRADESH
Parsipur S.O,221402,Delivery,Bhadohi,Sant Ravidas Nagar,UTTAR PRADESH
Rajatalab S.O,221311,Delivery,Varanasi,Varanasi,UTTAR PRADESH
Suriyawan S.O,221404,Delivery,Bhadohi,Sant Ravidas Nagar,UTTAR PRADESH
Bareilly City S.O,243003,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Barkhera S.O,262203,Delivery,Bisalpur,Pilibhit,UTTAR PRADESH
Izzat Nagar S.O,243122,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Aonla S.O,243301,Delivery,Aonla,Bareilly,UTTAR PRADESH
Baheri S.O (Bareilly),243201,Delivery,Baheri,Bareilly,UTTAR PRADESH
C.B. Ganj S.O,243502,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Iffcotownship S.O,243403,Delivery,Aonla,Bareilly,UTTAR PRADESH
Ram Nagar S.O (Bareilly),243303,Delivery,Aonla,Bareilly,UTTAR PRADESH
Bareilly H.O,243001,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Pooranpur S.O,262122,Delivery,Pooranpur,Pilibhit,UTTAR PRADESH
Shahi S.O,243505,Delivery,Bareilly,Bareilly,UTTAR PRADESH
Kali Nagar S.O,262124,Delivery,Pilibhit ,Pilibhit,UTTAR PRADESH
Air Force Station Bareilly S.O,243002,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Ballia S.O,243402,Delivery,Bareilly,Bareilly,UTTAR PRADESH
Bhamora S.O,243401,Delivery,Bareilly,Bareilly,UTTAR PRADESH
R.K.University S.O,243006,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Deorania S.O,243203,Delivery,Baheri,Bareilly,UTTAR PRADESH
Faridpur S.O,243503,Delivery,Faridpur ,Bareilly,UTTAR PRADESH
ITBP Bareilly S.O,243004,Delivery,Bareilly,Bareilly,UTTAR PRADESH
Neoria S.O,262305,Delivery,Pilibhit,Pilibhit,UTTAR PRADESH
Bhojipura S.O,243202,Delivery,Bareilly,Bareilly,UTTAR PRADESH
Bisalpur S.O,262201,Delivery,Bisalpur,Pilibhit,UTTAR PRADESH
Majhola S.O (Bareilly),262302,Delivery,Aonla ,Bareilly,UTTAR PRADESH
Nawabganj S.O (Bareilly),262406,Delivery,Nawabganj,Bareilly,UTTAR PRADESH
P.A.C.Dso S.O,243123,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Amaria S.O,262121,Delivery,Amaria,Pilibhit,UTTAR PRADESH
B R Factory S.O,243501,Delivery,Aonla,Bareilly,UTTAR PRADESH
Bhuta S.O,243126,Delivery,Bareilly,Bareilly,UTTAR PRADESH
Bilsanda S.O,262202,Delivery,Bisalpur,Pilibhit,UTTAR PRADESH
Bisharatganj S.O,243302,Delivery,Aonla ,Bareilly,UTTAR PRADESH
Fateh Ganj (E) S.O,243506,Delivery,Aonla ,Bareilly,UTTAR PRADESH
Meerganj S.O (Bareilly),243504,Delivery,Meerganj,Bareilly,UTTAR PRADESH
Pilibhit H.O,262001,Delivery,Pilibhit,Pilibhit,UTTAR PRADESH
Senthal S.O,243407,Delivery,Nawab Ganj,Bareilly,UTTAR PRADESH
Shamat Ganj S.O,243005,Delivery,Bareilly ,Bareilly,UTTAR PRADESH
Kotwali S.O (Bijnor),246764,Delivery,Nagina,Bijnor,UTTAR PRADESH
Najibabad S.O,246763,Delivery,Najibabad,Bijnor,UTTAR PRADESH
Rahu Nagli S.O,246737,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Raja-ka-tajpur S.O,246735,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Bashta S.O,246736,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Haldaur S.O,246726,Delivery,Bijnor,Bijnor,UTTAR PRADESH
Nagal S.O (Bijnor),246732,Delivery,Najibabad,Bijnor,UTTAR PRADESH
Noorpur S.O,246734,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Afzalgarh S.O,246722,Delivery,Nagina,Bijnor,UTTAR PRADESH
Chandpur Sugar Factory S.O,246729,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Kiratpur S.O,246731,Delivery,Najibabad,Bijnor,UTTAR PRADESH
Nagina S.O (Bijnor),246762,Delivery,Nagina,Bijnor,UTTAR PRADESH
Balawali S.O,246723,Delivery,Bijnor,Bijnor,UTTAR PRADESH
Bijnor H.O,246701,Delivery,Bijnor,Bijnor,UTTAR PRADESH
Chandpur S.O,246725,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Mandawar S.O (Bijnor),246721,Delivery,Najibabad,Bijnor,UTTAR PRADESH
Sahaspur S.O (Bijnor),246745,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Dhampur H.O,246761,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Nehtaur S.O,246733,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Sherkot S.O,246747,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Jhalu S.O,246728,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Sahanpur S.O,246749,Delivery,Najibabad,Bijnor,UTTAR PRADESH
Badhapur S.O,246724,Delivery,Nagina,Bijnor,UTTAR PRADESH
Hassupura S.O,246727,Delivery,Chandpur,Bijnor,UTTAR PRADESH
Seohara S.O,246746,Delivery,Dhampur,Bijnor,UTTAR PRADESH
Babrala S.O,243751,Delivery,Budaun,Budaun,UTTAR PRADESH
Binawar S.O,243634,Delivery,Budaun,Budaun,UTTAR PRADESH
I.A. Babrala S.O,242021,Delivery,Budaun,Budaun,UTTAR PRADESH
Ujhani S.O,243639,Delivery,Budaun,Budaun,UTTAR PRADESH
Wazirganj S.O (Budaun),243726,Delivery,Budaun,Budaun,UTTAR PRADESH
Kichhla S.O,243636,Delivery,NA,Budaun,UTTAR PRADESH
Rudauin S.O,243724,Delivery,Bisli,Budaun,UTTAR PRADESH
Asafpur S.O,243632,Delivery,Busauli,Budaun,UTTAR PRADESH
Sahaswan S.O,243638,Delivery,Sahaswan,Budaun,UTTAR PRADESH
Bisauli S.O,243720,Delivery,Bisauli,Budaun,UTTAR PRADESH
Kakrala S.O,243637,Delivery,Dataganj,Budaun,UTTAR PRADESH
Samrer S.O,243630,Delivery,Dataganj,Budaun,UTTAR PRADESH
Saidpur S.O (Budaun),243725,Delivery,Bisauli,Budaun,UTTAR PRADESH
Bilsi S.O,243633,Delivery,Bilsi,Budaun,UTTAR PRADESH
Budaun H.O,243601,Delivery,Budaun,Budaun,UTTAR PRADESH
Gunnaur S.O,243722,Delivery,Gunnaur,Budaun,UTTAR PRADESH
Rajpura S.O (Budaun),243727,Delivery,Gunnour,Budaun,UTTAR PRADESH
Allapur S.O,243631,Delivery,Dataganj,Budaun,UTTAR PRADESH
Dataganj S.O,243635,Delivery,Dataganj,Budaun,UTTAR PRADESH
Islamnagar S.O,243723,Delivery,Bilsi,Budaun,UTTAR PRADESH
Usehat S.O,243641,Delivery,Dataganj,Budaun,UTTAR PRADESH
Bilgram S.O,241301,Delivery,Bilgram,Hardoi,UTTAR PRADESH
Dhikunni S.O,241203,Delivery,Sandila,Hardoi,UTTAR PRADESH
Kachhauna S.O,241126,Delivery,Sandila,Hardoi,UTTAR PRADESH
Sandila I. Estate S.O,241127,Delivery,Sandila,Hardoi,UTTAR PRADESH
Madhoganj S.O (Hardoi),241302,Delivery,Sandila,Hardoi,UTTAR PRADESH
Pali S.O (Hardoi),241123,Delivery,Sawayajpur,Hardoi,UTTAR PRADESH
Beniganj S.O,241304,Delivery,Sandila,Hardoi,UTTAR PRADESH
Aihrori S.O,241121,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Behander S.O,241201,Delivery,Sandila,Hardoi,UTTAR PRADESH
Shahabad S.O (Hardoi),241124,Delivery,Shahabad,Hardoi,UTTAR PRADESH
Harpalpur S.O (Hardoi),241402,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Mallawan S.O,241303,Delivery,Sandila,Hardoi,UTTAR PRADESH
Saadat Nagar S.O,241407,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Barwan S.O (Hardoi),241401,Delivery,NA,Hardoi,UTTAR PRADESH
Hardoi H.O,241001,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Hariyawan S.O,241405,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Bharawan S.O,241202,Delivery,Sandila,Hardoi,UTTAR PRADESH
Gopamau S.O,241404,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Sandi S.O,241403,Delivery,Harodi,Hardoi,UTTAR PRADESH
Sandila S.O,241204,Delivery,Sandila,Hardoi,UTTAR PRADESH
Baghauli S.O,241122,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Behta Gokul S.O,241125,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Gaus Ganj S.O,241305,Delivery,Sandila,Hardoi,UTTAR PRADESH
Pihani S.O,241406,Delivery,Hardoi,Hardoi,UTTAR PRADESH
Gola Gokaran Nath S.O,262802,Delivery,Gola Gokaran Nath,Kheri,UTTAR PRADESH
Lagucha S.O,262721,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Nakha S.O,262728,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Oel S.O (Kheri),262725,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Pallia S.O,262902,Delivery,Palia,Kheri,UTTAR PRADESH
Mahewa Ganj S.O,261506,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Dhaurahara S.O (Kheri),262723,Delivery,Dhaurahara,Kheri,UTTAR PRADESH
Mitauli S.O,262727,Delivery,Mohammdi,Kheri,UTTAR PRADESH
Mohammadi S.O,262804,Delivery,Mohammadi,Kheri,UTTAR PRADESH
Nighasan S.O,262903,Delivery,Nighasan,Kheri,UTTAR PRADESH
Bhira S.O (Kheri),262901,Delivery,Gola,Kheri,UTTAR PRADESH
Kheri H.O,262701,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Mailani S.O,262803,Delivery,Gola,Kheri,UTTAR PRADESH
Semra S.O (Kheri),262907,Delivery,Nighasan,Kheri,UTTAR PRADESH
Bankey Ganj S.O,262801,Delivery,Gola Gokaran Nath,Kheri,UTTAR PRADESH
Isanagar S.O (Kheri),261502,Delivery,Dhaurahara,Kheri,UTTAR PRADESH
Kheri Town S.O,262702,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Sampurna Nagar S.O,262904,Delivery,Palia,Kheri,UTTAR PRADESH
Sharda Nagar S.O,262726,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Singahi S.O,262905,Delivery,Nighasan,Kheri,UTTAR PRADESH
Aira Estate S.O,262722,Delivery,Dhaurahara,Kheri,UTTAR PRADESH
Jatpurwa S.O,262724,Delivery,Dhaurahara,Kheri,UTTAR PRADESH
Sikandrabad S.O (Kheri),262805,Delivery,Gola,Kheri,UTTAR PRADESH
Tikunia S.O,262906,Delivery,Nighasan,Kheri,UTTAR PRADESH
Behjam S.O,261501,Delivery,Lakhimpur,Kheri,UTTAR PRADESH
Maigal Ganj S.O,261505,Delivery,Mohammdi,Kheri,UTTAR PRADESH
Doghat S.O,250622,Delivery,Baghpat,Bagpat,UTTAR PRADESH
Khekra S.O,250101,Delivery,Baraut,Bagpat,UTTAR PRADESH
Kishanpur Baral S.O,250623,Delivery,Baraut,Bagpat,UTTAR PRADESH
Mawana S.O,250401,Delivery,Mawana,Meerut,UTTAR PRADESH
Modipuram S.O,250110,Delivery,Meerut,Meerut,UTTAR PRADESH
Sarurpur Khurd S.O,250344,Delivery,Sardhana,Meerut,UTTAR PRADESH
Bamnauli S.O,250620,Delivery,Baraut,Bagpat,UTTAR PRADESH
Dhikauli S.O,250615,Delivery,Baghpat,Bagpat,UTTAR PRADESH
Machhara S.O,250106,Delivery,Meerut,Meerut,UTTAR PRADESH
Sarurpur Kalan S.O,250619,Delivery,Baraut,Bagpat,UTTAR PRADESH
Baghpat S.O,250609,Delivery,Baghpat,Bagpat,UTTAR PRADESH
Chhaprauli S.O,250617,Delivery,Baghpat,Bagpat,UTTAR PRADESH
Hastinapur S.O,250404,Delivery,Mawana,Meerut,UTTAR PRADESH
Kithore S.O,250104,Delivery,Meerut,Meerut,UTTAR PRADESH
Meerut Cantt H.O,250001,Delivery,Meerut,Meerut,UTTAR PRADESH
MIET S.O,250005,Delivery,Meerut,Meerut,UTTAR PRADESH
Parikshatgarh S.O,250406,Delivery,Mawana,Meerut,UTTAR PRADESH
Rasulpur Rohta S.O,250502,Delivery,Meerut,Meerut,UTTAR PRADESH
Baleni S.O,250626,Delivery,Meerut,Bagpat,UTTAR PRADESH
Lawar S.O,250222,Delivery,Meerut,Meerut,UTTAR PRADESH
Mawana Factory S.O,250402,Delivery,Mawana,Meerut,UTTAR PRADESH
Sakoti Tanda S.O,250223,Delivery,Sardhana,Meerut,UTTAR PRADESH
Tikri S.O,250625,Delivery,Baraut,Bagpat,UTTAR PRADESH
Agarwal Mandi S.O,250601,Delivery,Baraut,Bagpat,UTTAR PRADESH
Jani S.O,250501,Delivery,Meerut,Meerut,UTTAR PRADESH
Kharkhuda S.O,245206,Delivery,Meerut,Meerut,UTTAR PRADESH
Baoli S.O,250621,Delivery,Baraut,Bagpat,UTTAR PRADESH
Dabathwa S.O,250341,Delivery,Meerut,Meerut,UTTAR PRADESH
Baraut H.O,250611,Delivery,Baraut,Bagpat,UTTAR PRADESH
Binauli S.O,250345,Delivery,Baraut,Bagpat,UTTAR PRADESH
Daurala S.O,250221,Delivery,Sardhana,Meerut,UTTAR PRADESH
Meerut City H.O,250002,Delivery,Meerut,Meerut,UTTAR PRADESH
Mohiuddinpur S.O,250205,Delivery,Meerut,Meerut,UTTAR PRADESH
Sardhana S.O,250342,Delivery,Meerut,Meerut,UTTAR PRADESH
Aminagar Sarai S.O,250606,Delivery,Baraut,Bagpat,UTTAR PRADESH
I. E. Partapur S.O,250103,Delivery,Meerut,Meerut,UTTAR PRADESH
L. L. R. M. Med.college S.O,250004,Delivery,Meerut,Meerut,UTTAR PRADESH
Meerut Kutchery S.O,250003,Delivery,Meerut,Meerut,UTTAR PRADESH
Asmoli S.O,244304,Delivery,Sambhl,Jyotiba Phule Nagar,UTTAR PRADESH
Bachhraon S.O,244225,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Bahjoi S.O,244410,Delivery,Chandausi,Moradabad,UTTAR PRADESH
Bilaspur (Rampur) S.O,244921,Delivery,Bilaspur,Rampur,UTTAR PRADESH
Chandausi S.O,244412,Delivery,Chandausi,Moradabad,UTTAR PRADESH
Dilari S.O,244401,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Gajraula S.O,244235,Delivery,Dhanaura,Jyotiba Phule Nagar,UTTAR PRADESH
Milak S.O,244701,Delivery,Rampur,Rampur,UTTAR PRADESH
Nawgawan S.O,244251,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Raja Ka Sahaspur S.O,244415,Delivery,Bilari,Moradabad,UTTAR PRADESH
Said Nagar S.O,244927,Delivery,Suar,Rampur,UTTAR PRADESH
Kundan Nagar S.O,244245,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Pipalsana R.S. S.O,244402,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Rajab Pur S.O,244236,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Shahabad S.O (Rampur),244922,Delivery,Shahabad,Rampur,UTTAR PRADESH
Sirsi S.O (Moradabad),244301,Delivery,Sambhal,Moradabad,UTTAR PRADESH
Suar S.O,244924,Delivery,Suar,Rampur,UTTAR PRADESH
Kundarki S.O,244413,Delivery,Bilari,Moradabad,UTTAR PRADESH
Narauly S.O,244414,Delivery,Sambhal,Moradabad,UTTAR PRADESH
Rehra S.O,244255,Delivery,Hasanpur,Jyotiba Phule Nagar,UTTAR PRADESH
Sarai Tarin S.O,244303,Delivery,Sambhal,Moradabad,UTTAR PRADESH
Tanda Badli S.O,244925,Delivery,Rampur,Rampur,UTTAR PRADESH
Bhartiya Gram S.O,244223,Delivery,Dhanaura,Jyotiba Phule Nagar,UTTAR PRADESH
Dhanaura S.O,244231,Delivery,Dhanaura,Jyotiba Phule Nagar,UTTAR PRADESH
Joya S.O,244222,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Majhola S.O (Moradabad),244103,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Bilari S.O,244411,Delivery,Bilari,Moradabad,UTTAR PRADESH
Bilaspur Chini Mill S.O,244923,Delivery,Rampur,Rampur,UTTAR PRADESH
Modipur S.O,244926,Delivery,Rampur,Rampur,UTTAR PRADESH
Pakbara S.O,244102,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Surjan Nagar S.O,244602,Delivery,Thakurdwara,Moradabad,UTTAR PRADESH
Thakurdwara S.O,244601,Delivery,Thakurdwara,Moradabad,UTTAR PRADESH
Ujhari S.O,244242,Delivery,Hasanpur,Jyotiba Phule Nagar,UTTAR PRADESH
Amroha H.O,244221,Delivery,Amroha,Jyotiba Phule Nagar,UTTAR PRADESH
Hasanpur S.O (Jyotiba Phule Nagar),244241,Delivery,Hasanpur,Jyotiba Phule Nagar,UTTAR PRADESH
Kanth S.O,244501,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Aghwanpur S.O,244504,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Mundha S.O,244104,Delivery,Moradabad Thehsil,Moradabad,UTTAR PRADESH
Rampur H.O,244901,Delivery,Rampur,Rampur,UTTAR PRADESH
Kemri S.O (Rampur),244928,Delivery,Bilaspur,Rampur,UTTAR PRADESH
Moradabad H.O,244001,Delivery,Moradabad,Moradabad,UTTAR PRADESH
Sambhal S.O,244302,Delivery,Sambhal,Moradabad,UTTAR PRADESH
Jalalabad S.O (Muzaffarnagar),247772,Delivery,Shamli,Muzaffarnagar,UTTAR PRADESH
Mansurpur S.O,251203,Delivery,Jansath,Muzaffarnagar,UTTAR PRADESH
Shamli S.O,247776,Delivery,Muzaffarnagar,Muzaffarnagar,UTTAR PRADESH
Bhopa S.O,251308,Delivery,Muzafarnagar,Muzaffarnagar,UTTAR PRADESH
Morna S.O,251316,Delivery,Jansath,Muzaffarnagar,UTTAR PRADESH
Ramraj S.O,251320,Delivery,Jansath,Muzaffarnagar,UTTAR PRADESH
Thanabhawan S.O,247777,Delivery,Shamli,Muzaffarnagar,UTTAR PRADESH
Khatauli S.O,251201,Delivery,Muzaffarnagar,Muzaffarnagar,UTTAR PRADESH
Un S.O (Muzaffarnagar),247778,Delivery,Kairana,Muzaffarnagar,UTTAR PRADESH
Jansath S.O,251314,Delivery,Jansath,Muzaffarnagar,UTTAR PRADESH
